LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,49897
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
3.680395e-006,0.00177495322
3.680795e-006,0.00178083542
3.681195e-006,0.00179701147
3.681595e-006,0.00182348136
3.681995e-006,0.00185877455
3.682395e-006,0.00190583213
3.682795e-006,0.00196171301
3.683195e-006,0.00202788774
3.683595e-006,0.00210288576
3.683995e-006,0.00218523653
3.684395e-006,0.0022764106
3.684795e-006,0.00237493741
3.685195e-006,0.00248081698
3.685595e-006,0.00259257874
3.685995e-006,0.0027102227
3.686395e-006,0.0028322783
3.686795e-006,0.00295874556
3.687195e-006,0.00308815391
3.687595e-006,0.00322050337
3.687995e-006,0.00335432337
3.688395e-006,0.00348961392
3.688795e-006,0.00362490447
3.689195e-006,0.00375872448
3.689595e-006,0.00389254448
3.689995e-006,0.00402342338
3.690395e-006,0.00414989064
3.690795e-006,0.00427341679
3.691195e-006,0.0043925313
3.691595e-006,0.00450723416
3.691995e-006,0.00461458427
3.692395e-006,0.00471605219
3.692795e-006,0.00481016736
3.693195e-006,0.00489692978
3.693595e-006,0.0049748689
3.693995e-006,0.00504398472
3.694395e-006,0.00510427725
3.694795e-006,0.00515574648
3.695195e-006,0.00519692187
3.695595e-006,0.00522927396
3.695995e-006,0.0052513322
3.696395e-006,0.0052630966
3.696795e-006,0.00526456715
3.697195e-006,0.0052572144
3.697595e-006,0.00523809725
3.697995e-006,0.00521015681
3.698395e-006,0.00517339308
3.698795e-006,0.00512633549
3.699195e-006,0.00507192516
3.699595e-006,0.00500722099
3.699995e-006,0.00493516406
3.700395e-006,0.00485575439
3.700795e-006,0.00476752142
3.701195e-006,0.0046748768
3.701595e-006,0.00457487944
3.701995e-006,0.00447047043
3.702395e-006,0.00436017921
3.702795e-006,0.0042469469
3.703195e-006,0.00413077349
3.703595e-006,0.00401018844
3.703995e-006,0.00388960338
3.704395e-006,0.00376607722
3.704795e-006,0.00364255107
3.705195e-006,0.00352049546
3.705595e-006,0.00339843985
3.705995e-006,0.0032778548
3.706395e-006,0.00316021084
3.706795e-006,0.00304550798
3.707195e-006,0.00293521677
3.707595e-006,0.0028293372
3.707995e-006,0.00272933984
3.708395e-006,0.00263375412
3.708795e-006,0.00254552115
3.709195e-006,0.00246317038
3.709595e-006,0.00238817236
3.709995e-006,0.00232199763
3.710395e-006,0.00226317565
3.710795e-006,0.00221170642
3.711195e-006,0.00217053104
3.711595e-006,0.00213817895
3.711995e-006,0.00211465016
3.712395e-006,0.00209994466
3.712795e-006,0.00209553301
3.713195e-006,0.00209994466
3.713595e-006,0.00211317961
3.713995e-006,0.0021367084
3.714395e-006,0.00216906049
3.714795e-006,0.00221023587
3.715195e-006,0.00226023455
3.715595e-006,0.00231905653
3.715995e-006,0.00238670181
3.716395e-006,0.00246022928
3.716795e-006,0.00254258005
3.717195e-006,0.00263081302
3.717595e-006,0.00272639874
3.717995e-006,0.0028263961
3.718395e-006,0.00293227567
3.718795e-006,0.00304403743
3.719195e-006,0.00315874029
3.719595e-006,0.00327638425
3.719995e-006,0.0033969693
3.720395e-006,0.00352049546
3.720795e-006,0.00364402162
3.721195e-006,0.00376901832
3.721595e-006,0.00389401503
3.721995e-006,0.00401754118
3.722395e-006,0.00413959679
3.722795e-006,0.00426018185
3.723195e-006,0.00437635526
3.723595e-006,0.00449105812
3.723995e-006,0.00460134933
3.724395e-006,0.00470575834
3.724795e-006,0.00480575571
3.725195e-006,0.00490134142
3.725595e-006,0.00498957439
3.725995e-006,0.00507045461
3.726395e-006,0.00514545264
3.726795e-006,0.00521162736
3.727195e-006,0.00527044934
3.727595e-006,0.00532044803
3.727995e-006,0.00536309396
3.728395e-006,0.0053969166
3.728795e-006,0.00542191594
